ageClass,sex,nationality,treatment,unique_id
40,M,ESP,Control,08755aa37dda4cf37e5ff14c9bad017d9bdee7c8
35,M,FIN,Treatment,51586a79f49f6e00b47f41a806fc9ff25e7d760f
30,M,GBR,Treatment,2faa77e986dfd767d3dd704526b542589a862812
20,M,DNK,Treatment,6542b589773fdc3dc576026c6a6ff342514559f7
40,M,DEU,Control,a8ebcfe774882dbe7c4f54038994b7156780ebee
30,M,DNK,Control,c4e7bbe730c8560c867dd98625cb1a71cf34220c
30,M,FRA,Control,4e5f9631d2336c2335ec86a391b5ff94482baa99
35,M,DEU,Control,6888c496431014603316435946da6061aa853a06
40,M,DEU,Control,b11c94ced7614eb4e92882e4260dfc82d7266f23
30,M,FRA,Control,259bb08813eb8b4b35dee93016989ed9ea8105fa
40,M,DNK,Treatment,93f67fd61341d272ecffa8bd4d821de1d31b4bd0
30,M,BEL,Treatment,c3c1b663e7f4e46e98381efd8acb260435e56068
20,W,ETH,Treatment,6b52d0dc0e979cbcf35e7b1a9a802b3156b51800
35,M,DEU,Treatment,9bbc1f387889c1f94000f6f354d98d513c049987
35,M,CHE,Treatment,87eb6e65733a1bba61fe3357abd1175a0763b75c
30,M,FRA,Control,726d06ba1cf9ba866b57be0ffdf2bf0eecce2d43
35,M,DEU,Treatment,1c0541dd03fc8f5fd73233c03205408f44d636ad
35,M,DEU,Control,3a450dda7311082ef2d211d50e4faa9d0880b5f9
30,M,GBR,Treatment,1be9f5e57dafc503d813da25a5cb53cc498245b4
20,M,USA,Control,1fac4d82d6b17306f4408a7f60a6d7bda6a33881
45,M,DEU,Treatment,8edae9a3f500bd88714bc444276e65eda50c2b2a
20,M,AUS,Treatment,3179b7f6d2860c5202c5a1290594596c8a29fd85
20,M,ISR,Control,8c0e1ed2c5dd074c9290a8a1fdac3952fcf35392
30,M,AUT,Control,10e27a3f150033ebb81c634720cca53753b7a407
40,M,EGY,Treatment,82b16150e5e925b66fac21573ae506738f8b31f6
40,M,DEU,Control,d3454d5e3df34b183f592a58f2605bb547f2f20a
20,M,AUT,Control,a3402484a617aa9e00d1f4c6145ed77dea83c788
35,M,DEU,Treatment,77f8be06b0329d2cf72618eb88b4507b9e1365da
30,M,SWE,Control,701605eb090e24430243fc67f3364c0959ffe49e
40,M,AUT,Control,e964404dc06fe0a5d45b11800c20f4934753fbe3
